sort,obj_id,old_obj,year,query,sender1,sender_id,sender_n,date_sent,date_when,recipient1,recipient_id,recipient_n,place_sent,place_n,untranscribed
36,obj1457,Obj1515,1835,,D. S. Wilson,ppl:dswilson,obj1457-s-1,18 May 1835,1835-05-18,DBW,ppl:dbw,,Baltimore,obj1457-pl-249,
37,obj1458,Obj1516,1835,,C. G. Childs,ppl:cgchilds,obj1458-s-1,19 May 1835,1835-05-19,DBW,ppl:dbw,,Philadelphia,obj1458-pl-250,
38,obj1459,Obj1517,1835,,"Anthony Morris,",ppl:amo,obj1459-s-1,19 May 1835,1835-05-19,DBW,ppl:dbw,,"Bolton Farm, Bucks Co., PA",obj1459-pl-252,
39,obj1460,Obj1518,1835,,Thomas G Clemson,ppl:tgc,obj1460-s-1,22 May 1835,1835-05-22,DBW,ppl:dbw,,Philadelphia,obj1460-pl-254,
40,obj1461,Obj1519,1835,,"Dr C. Wistar Pennock,",ppl:cwpennock,obj1461-s-1,1 June 1835,1835-06-01,DBW,ppl:dbw,,Philadelphia,obj1461-pl-257,
41,obj1462,Obj1520,1835,,"Robert Baird,",ppl:robbaird,obj1462-s-1,6 June 1835,1835-06-06,DBW,ppl:dbw,,Paris,obj1462-pl-259,
42,obj1463,Obj1521,1835,,Dr J W Francis,ppl:jwfran,obj1463-s-1,10 June 1835,1835-06-10,DBW,ppl:dbw,,New York,obj1463-pl-261,
43,obj1464,Obj1522,1835,,Alexandre Vivien,ppl:avivien,obj1464-s-1,29 June 1835,1835-06-29,DBW,ppl:dbw,,11 rue de Dominique,obj1464-pl-263,"
                    
                    
                  
                            Alexandre Vivien, 11 rue de Dominique, 29 June
                                1835
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
44,obj1465,Obj1523,1835,,Alexandre Vivien,ppl:avivien,obj1465-s-1,29 June 1835,1835-06-29,DBW,ppl:dbw,,11 rue de Dominique,obj1465-pl-264,
45,obj1466,Obj1524,1835,,J.L Cabell,ppl:jlcabell,obj1466-s-1,8 Jul 1835,1835-07-08,DBW,ppl:dbw,,Falls of Maryland,obj1466-pl-265,
46,obj1467,Obj1525,1835,,"John Wilks,",ppl:jwilks,obj1467-s-1,22 July 1835,1835-07-22,DBW,ppl:dbw,,Paris,obj1467-pl-267,
47,obj1468,Obj1526,1835,,John Wilks,ppl:jwilks,obj1468-s-1,1 Aug 1835,1835-08-01,DBW,ppl:dbw,,Paris,obj1468-pl-271,
48,obj1469,Obj1527,1835,,Dr J. W. Francis,ppl:jwfran,obj1469-s-1,5 Aug 1835,1835-08-05,DBW,ppl:dbw,,New York,obj1469-pl-272,
49,obj1470,Obj1528,1835,,J. A Washington,ppl:jawashington,obj1470-s-1,3 Aug 1835,1835-08-03,DBW,ppl:dbw,,New York,obj1470-pl-274,
50,obj1471,Obj1529,1835,,"W. Poyntell Johnston,",ppl:wpjohnson,obj1471-s-1,14 Aug 1835,1835-08-14,DBW,ppl:dbw,,,,
51,obj1472,Obj1530,1835,,Moncure Robinson,ppl:mrob,obj1472-s-1,31 Aug 1835,1835-08-31,DBW,ppl:dbw,,NY,obj1472-pl-278,
52,obj1473,Obj1531,1835,,Thomas G Clemson,ppl:tgc,obj1473-s-1,12 Sep 1835,1835-09-12,DBW,ppl:dbw,,,,
53,obj1474,Obj1532,1835,,Caleb Cope,ppl:calcope,obj1474-s-1,22 Sep 1835,1835-09-22,DBW,ppl:dbw,,,,
54,obj1475,Obj1533,1835,,Dr Hosack,ppl:dhos,obj1475-s-1,5 Oct 1835,1835-10-05,DBW,ppl:dbw,,NY,obj1475-pl-285,
55,obj1476,Obj1534,1835,,Humboldt,ppl:humboldt,obj1476-s-1,n.d. [October 1835],1835-10,DBW,ppl:dbw,,,,
56,obj1477,Obj1535,1835,,Humboldt,ppl:humboldt,obj1477-s-1,n.d. [October 1835],1835-10,DBW,ppl:dbw,,,,
57,obj1478,Obj1536,1835,,George Ticknor,ppl:gti,obj1478-s-1,27 Oct 1835,1835-10-27,DBW,ppl:dbw,,Calais,obj1478-pl-295,
58,obj1479,Obj1537,1835,,"Daniel Brent,",ppl:dcbrent,obj1479-s-1,9 Nov 1835,1835-11-09,DBW,ppl:dbw,,Paris,obj1479-pl-302,
59,obj1480,Obj1538,1835,,"Jared Sparks,",ppl:jasp,obj1480-s-1,14 Nov 1835,1835-11-14,DBW,ppl:dbw,,"Cambridge, Mass",obj1480-pl-304,
60,obj1481,Obj1539,1835,,P.S. Deponceau,ppl:pdup,obj1481-s-1,12 Dec 1835,1835-12-12,DBW,ppl:dbw,,Philadelphia,obj1481-pl-305,
61,obj1482,Obj1540,1835,,J. Cohen,ppl:jcohen,obj1482-s-1,11 Nov 1835,1835-11-11,DBW,ppl:dbw,,Hotel Montmorency,obj1482-pl-307,
62,obj1483,Obj1541,1835,,Tom Power [Dr Thomas Power],ppl:tpower,obj1483-s-1,[1835],1835,DBW,ppl:dbw,,,,
63,obj1484,Obj1542,1835,,"W. C. Preston,",ppl:wcp,obj1484-s-1,[1835],1835,DBW,ppl:dbw,,Washington DC,obj1484-pl-308,
64,obj1485,Obj1543,1835,,William C. Preston,ppl:wcp,obj1485-s-1,[c. 1835],1835,DBW,ppl:dbw,,,,
65,obj1486,Obj1544,1835,,Edward Whar,ppl:edwhar,obj1486-s-1,[c.1835],1835,DBW,ppl:dbw,,40 Rue st Augar,obj1486-pl-309,
1,obj1488,Obj1545,1836,,Arago,ppl:farago,obj1488-s-1,12 Jan 1836,1836-01-12,DBW,ppl:dbw,,,,
2,obj1489,Obj1546,1836,,Alexandre Vivien,ppl:avivien,obj1489-s-1,14 Jan 1836,1836-01-14,DBW,ppl:dbw,,,,
3,obj1490,Obj1547,1836,,Charles King,ppl:chking,obj1490-s-1,18 Jan 1836,1836-01-18,DBW,ppl:dbw,,,,
4,obj1491,Obj1548,1836,,J W Francis,ppl:jwfran,obj1491-s-1,18 Jan 1836,1836-01-18,DBW,ppl:dbw,,,,
5,obj1492,Obj1549,1836,,John Howard Payne,ppl:jhp,obj1492-s-1,26 Feb 1836,1836-02-26,DBW,ppl:dbw,,NY,obj1492-pl-311,
6,obj1493,Obj1550,1836,,Charles T. Jackson,ppl:ctjackson,obj1493-s-1,9 Mar 1836,1836-03-09,DBW,ppl:dbw,,Boston,obj1493-pl-320,
7,obj1494,Obj1551,1836,,Jomard,ppl:efjomard,obj1494-s-1,12 Mar 1836,1836-03-12,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Jomard, 12 Mar 1836
                        
               
                    I have seen Mr Robinson
                        [photo – in French] –
                        incomplete transcription
               
                "
8,obj1495,Obj1551,1836,,Nicholas Biddle,ppl:nbidd,obj1495-s-1,22 March 1836,1836-03-22,DBW,ppl:dbw,,,,
9,obj1496,Obj1551,1836,,Major Lee,ppl:henrylee,obj1496-s-1,24 Mar 1836,1836-03-24,DBW,ppl:dbw,,,,
10,obj1497,Obj1552,1836,,J. J. Lloyd Whittemore,ppl:jjlwhittemore,obj1497-s-1,21 March 1836,1836-03-21,DBW,ppl:dbw,,Paris,obj1497-pl-325,
11,obj1498,Obj1553,1836,,Joel Poinsett,ppl:jrpoinsett,obj1498-s-1,25 Mar 1836,1836-03-25,DBW,ppl:dbw,,Charleston,obj1498-pl-328,
12,obj1499,Obj1554,1836,,"Francois Arago,",ppl:farago,obj1499-s-1,30 Mar 1836,1836-03-30,DBW,ppl:dbw,,,,
13,obj1500,Obj1555,1836,,"John Vaughan,",ppl:jvau,obj1500-s-1,1 Apr 1836,1836-04-01,DBW,ppl:dbw,,Philadelphia,obj1500-pl-330,
14,obj1501,Obj1555,1836,,Colonel Sylvanus Thayer,ppl:cst,obj1501-s-1,5 Apr 1836,1836-04-05,DBW,ppl:dbw,,Boston,obj1501-pl-331,
15,obj1502,Obj1555,1836,,George Parkman,ppl:gparkman,obj1502-s-1,7 April 1836,1836-04-07,DBW,ppl:dbw,,Boston,obj1502-pl-333,
16,obj1503,Obj1556,1836,,Charles J Jackson,ppl:cjjackson,obj1503-s-1,8 Apr 1836,1836-04-08,DBW,ppl:dbw,,Boston,obj1503-pl-334,
17,obj1504,Obj1557,1836,,William Jackson,ppl:willjackson,obj1504-s-1,10 Apr 1836,1836-04-10,DBW,ppl:dbw,,Rome,obj1504-pl-335,
18,obj1505,Obj1558,1836,,Hosack,ppl:jhos,obj1505-s-1,12 Apr 1836,1836-04-12,DBW,ppl:dbw,,NY,obj1505-pl-337,
19,obj1506,Obj1559,1836,,Dr C. W[istar] Pennock,ppl:cwpennock,obj1506-s-1,18 April 1836,1836-04-18,DBW,ppl:dbw,,Philadelphia,obj1506-pl-339,
20,obj1507,Obj1560,1836,,Dr C. W[istar] Pennock,ppl:cwpennock,obj1507-s-1,21 April 1836,1836-04-21,DBW,ppl:dbw,,Philadelphia,obj1507-pl-340,
21,obj1508,Obj1561,1836,,Alexandre Vivien,ppl:avivien,obj1508-s-1,29 Apr 1836,1836-04-29,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Alexandre Vivien, 29 Apr 1836
                        
               
                    
                        In French [photo] – not yet transcribed
               
                "
22,obj1509,Obj1562,1836,,Dr C. W[istar] Pennock,ppl:cwpennock,obj1509-s-1,2 May 1836,1836-05-02,DBW,ppl:dbw,,Philadelphia,obj1509-pl-341,
23,obj1510,Obj1563,1836,,"Dr Wurdemann,",ppl:jgfwurdemann,obj1510-s-1,2 May 1836,1836-05-02,DBW,ppl:dbw,,Charleston,obj1510-pl-343,
24,obj1511,Obj1564,1836,,"Dr Wurdemann,",ppl:jgfwurdemann,obj1511-s-1,9 May 1836,1836-05-09,DBW,ppl:dbw,,Charleston,obj1511-pl-346,
25,obj1512,Obj1565,1836,,"John Fenwick [Colonel John R. Fenwick],",ppl:jrfenwick,obj1512-s-1,10 May 1836,1836-05-10,DBW,ppl:dbw,,Baltimore,obj1512-pl-348,
26,obj1513,Obj1566,1836,,"Dr Wurdemann,",ppl:jgfwurdemann,obj1513-s-1,11 May 1836,1836-05-11,DBW,ppl:dbw,,Charleston,obj1513-pl-351,
27,obj1514,Obj1567,1836,,"Emma Willard,",ppl:ehwillard,obj1514-s-1,14 May 1836,1836-05-14,DBW,ppl:dbw,,New York,obj1514-pl-353,
28,obj1515,Obj1568,1836,,Jesse Buel,ppl:jbu,obj1515-s-1,14 May 1836,1836-05-14,DBW,ppl:dbw,,Albany,obj1515-pl-356,
29,obj1516,Obj1569,1836,,Dunscourt Bradford,ppl:dunsbradford,obj1516-s-1,16 May [1836],1836-05-16,DBW,ppl:dbw,,,,
30,obj1517,Obj1570,1836,,"Octavia Delany,",ppl:octaviadelany,obj1517-s-1,16 May 1836,1836-05-16,DBW,ppl:dbw,,St Louis,obj1517-pl-358,
31,obj1518,Obj1571,1836,legal,,,,,,,,,,,"
                    
                    
                  
                            Received 1 July 1836 Power of Attorney from the heirs of Captain Corran
                        
               
                    
                        [photos] – not transcribed
               
                "
32,obj1519,Obj1572,1836,,Horace G. Brown,ppl:hgbrown,obj1519-s-1,11 Jul 1836,1836-07-11,DBW,ppl:dbw,,,,
33,obj1520,Obj1573,1836,,John W. Francis,ppl:jwfran,obj1520-s-1,14 July 1836,1836-07-14,DBW,ppl:dbw,,NY,obj1520-pl-365,
34,obj1521,Obj1574,1836,,Horace Binney,ppl:hbinney,obj1521-s-1,25 July 1836,1836-07-25,DBW,ppl:dbw,,Paris,obj1521-pl-369,
35,obj1522,Obj1575,1836,,Horace G. Browne,ppl:hgbrown,obj1522-s-1,14 Aug 1836,1836-08-14,DBW,ppl:dbw,,No. 24 rue de rivoli,obj1522-pl-372,
36,obj1523,Obj1576,1836,,Thomas G. Clemson,ppl:tgc,obj1523-s-1,1 Sep 1836,1836-09-01,DBW,ppl:dbw,,NY,obj1523-pl-373,
37,obj1524,Obj1577,1836,,Major Henry Lee IV,ppl:henrylee,obj1524-s-1,5 Sep 1836,1836-09-05,DBW,ppl:dbw,,,,
38,obj1525,Obj1578,1836,,Dr C. Wistan Pennock,ppl:cwpennock,obj1525-s-1,5 Sep 1836,1836-09-05,DBW,ppl:dbw,,Philadelphia,obj1525-pl-376,
39,obj1526,Obj1579,1836,,Dr C. wistan Pennock,ppl:cwpennock,obj1526-s-1,14 Sep 1836,1836-09-14,DBW,ppl:dbw,,Philadelphia,obj1526-pl-378,
40,obj1527,Obj1580,1836,,R.M. Patterson,ppl:rmpatterson,obj1527-s-1,15 Sep 1836,1836-09-15,DBW,ppl:dbw,,Philadelphia,obj1527-pl-381,
41,obj1528,Obj1581,1836,,Isaiah Townsend,ppl:ditj,obj1528-s-1,23 Sep 1836,1836-09-23,DBW,ppl:dbw,,Madrid,obj1528-pl-383,
42,obj1529,Obj1582,1836,,W. H. Keating,ppl:whkeating,obj1529-s-1,4 October 1836,1836-10-04,DBW,ppl:dbw,,Philadelphia,obj1529-pl-389,
43,obj1530,Obj1583,1836,,F. Wurdemann,ppl:jgfwurdemann,obj1530-s-1,31 Oct 1836,1836-10-31,DBW,ppl:dbw,,Charleston,obj1530-pl-390,
44,obj1531,Obj1584,1836,,[Moulin],ppl:_moulin,obj1531-s-1,11 Nov 1836,1836-11-11,DBW,ppl:dbw,,Paris,obj1531-pl-408,"
                    
                    
                  
                            [Moulin], Bibliotheque de l’Institut royal de France,
                                Paris, 11 Nov 1836
                        
               
                    
                        in French [photo] – not yet transcribed
               
                "
45,obj1532,Obj1585,1836,,Jesse Buel,ppl:jbu,obj1532-s-1,20 Nov 1836,1836-11-20,DBW,ppl:dbw,,Albany,obj1532-pl-409,
46,obj1533,Obj1586,1836,,Joseph C. Cabell,ppl:jccabell,obj1533-s-1,22 Nov 1836,1836-11-22,DBW,ppl:dbw,,"Richmond, VA",obj1533-pl-410,
47,obj1534,Obj1587,1836,,Joseph C. Cabell,ppl:jccabell,obj1534-s-1,22 Nov 1836,1836-11-22,DBW,ppl:dbw,,"Richmond, VA",obj1534-pl-413,
48,obj1535,Obj1588,1836,,Dunscourt Bradford,ppl:dunsbradford,obj1535-s-1,,,DBW,ppl:dbw,,,,
49,obj1536,Obj1589,1836,,F Wurdemann,ppl:jgfwurdemann,obj1536-s-1,n.d. [1836],1836,DBW,ppl:dbw,,Charleston,obj1536-pl-420,
1,obj1538,Obj1590,1837,,"Dr J. Adams,",ppl:jgadams,obj1538-s-1,22 Jan 1837,1837-01-22,DBW,ppl:dbw,,New York,obj1538-pl-422,
2,obj1539,Obj1591,1837,,Robert Walsh,ppl:rwj,obj1539-s-1,6 Feb 1837,1837-02-06,DBW,ppl:dbw,,,,
3,obj1540,Obj1592,1837,,"Dr J.G. Adams,",ppl:jgadams,obj1540-s-1,13 Feb 1837,1837-02-13,DBW,ppl:dbw,,New York,obj1540-pl-426,
4,obj1541,Obj1593,1837,,Dr Washington,ppl:jawashington,obj1541-s-1,14 Feb 1837,1837-02-14,DBW,ppl:dbw,,,,
5,obj1542,Obj1594,1837,,Dr Pennock,ppl:cwpennock,obj1542-s-1,20 Mar 1837,1837-03-20,DBW,ppl:dbw,,Baltimore,obj1542-pl-430,
6,obj1543,Obj1595,1837,,Jessie Buel,ppl:jbu,obj1543-s-1,29 Mar 1837,1837-03-29,DBW,ppl:dbw,,,,
7,obj1544,Obj1595,1837,,Ann Biddle,ppl:annbiddle,obj1544-s-1,2 April 1837,1837-04-02,DBW,ppl:dbw,,St Louis,obj1544-pl-431,
8,obj1545,Obj1596,1837,,Dr Smith,ppl:ags,obj1545-s-1,16 Apr 1837,1837-04-16,DBW,ppl:dbw,,,,
9,obj1546,Obj1597,1837,,"Dr Dugas,",ppl:ladugas,obj1546-s-1,12 Apr 1837,1837-04-12,DBW,ppl:dbw,,Augusta,obj1546-pl-439,
10,obj1547,Obj1598,1837,,"Dr F. Hall,",ppl:fhall,obj1547-s-1,20 Apr 1837,1837-04-20,DBW,ppl:dbw,,Washington,obj1547-pl-441,
11,obj1548,Obj1599,1837,,George Bettner,ppl:gsbettner,obj1548-s-1,3 May 1837,1837-05-03,DBW,ppl:dbw,,,,
12,obj1549,Obj1600,1837,,John Edward Holbrook,ppl:jeholbrook,obj1549-s-1,12 May 1837,1837-05-12,DBW,ppl:dbw,,Charleston,obj1549-pl-449,
13,obj1550,Obj1601,1837,,Joel Poinsett,ppl:jrpoinsett,obj1550-s-1,11 Jul 1837,1837-07-11,DBW,ppl:dbw,,Washington,obj1550-pl-450,
14,obj1551,Obj1602,1837,,A.D. Bache,ppl:adbache,obj1551-s-1,n.d.,1837,DBW,ppl:dbw,,,,
15,obj1552,Obj1603,1837,,A.D. Bache,ppl:adbache,obj1552-s-1,11 Jul 1837,1837-07-11,DBW,ppl:dbw,,,,
16,obj1553,Obj1604,1837,,A.D Bache,ppl:adbache,obj1553-s-1,12 Jul [1837],1837-07-12,DBW,ppl:dbw,,,,
17,obj1554,Obj1605,1837,,Dr Richard Harlan,ppl:rharlan,obj1554-s-1,15 Aug 1837,1837-08-15,DBW,ppl:dbw,,Philadelphia,obj1554-pl-453,
18,obj1555,Obj1606,1837,,Thomas Dobbin,ppl:tdobbin,obj1555-s-1,4 Sep 1837,1837-09-04,DBW,ppl:dbw,,Armagh,obj1555-pl-455,
19,obj1556,Obj1607,1837,,Henry M'Cormac,ppl:hmcormac,obj1556-s-1,22 Sep 1837,1837-09-22,DBW,ppl:dbw,,Belfast,obj1556-pl-457,
20,obj1557,Obj1608,1837,,Alban G. Smith,ppl:ags,obj1557-s-1,7 Oct 1837,1837-10-07,DBW,ppl:dbw,,,,
21,obj1558,Obj1609,1837,,"D. R. Goodwin,",ppl:drgoodwin,obj1558-s-1,8 November 1837,1837-11-08,DBW,ppl:dbw,,,,
22,obj1559,Obj1610,1837,,"M. Daniel Brent,",ppl:dcbrent,obj1559-s-1,5 Dec 1837,1837-12-05,DBW,ppl:dbw,,20 rue de la victoire,obj1559-pl-462,
23,obj1560,Obj1611,1837,,Isaiah Townsend,ppl:ditj,obj1560-s-1,7 Dec 1837,1837-12-07,DBW,ppl:dbw,,"Granada, Spain",obj1560-pl-464,
24,obj1561,Obj1612,1837,,D. Gardner,ppl:dgardner,obj1561-s-1,9 Dec 1837,1837-12-09,DBW,ppl:dbw,,,,
25,obj1562,Obj1613,1837,,Mrs F.D.D. Taylor,ppl:fddtaylor,obj1562-s-1,12 Dec 1837,1837-12-12,DBW,ppl:dbw,,,,
26,obj1563,Obj1614,1837,,Henry C. Carey [Henry Charles Carey],ppl:hccarey,obj1563-s-1,27 Dec 1837,1837-12-27,DBW,ppl:dbw,,Philadelphia,obj1563-pl-472,
27,obj1564,Obj1615,1837,,Isaiah Townsend,ppl:ditj,obj1564-s-1,8 May [1837],1837-05-08,DBW,ppl:dbw,,Rome,obj1564-pl-474,
28,obj1565,Obj1616,1837,,Isaiah Townsend,ppl:ditj,obj1565-s-1,n.d. [1837],1837,DBW,ppl:dbw,,,,
1,obj1567,Obj1617,1838,,"Henry Wheaton,",ppl:hwheaton,obj1567-s-1,15 Feb 1838,1838-02-15,DBW,ppl:dbw,,Berlin,obj1567-pl-478,
2,obj1568,Obj1618,1838,,Samuel Ward,ppl:samward,obj1568-s-1,17 Mar 1838,1838-03-17,DBW,ppl:dbw,,New York,obj1568-pl-483,
3,obj1569,Obj1619,1838,,Dr Richard Harlan,ppl:rharlan,obj1569-s-1,6 April 1838,1838-04-06,DBW,ppl:dbw,,Philadelphia,obj1569-pl-485,
4,obj1570,Obj1620,1838,,"Charles Sumner,",ppl:csu,obj1570-s-1,8 April 1838,1838-04-08,DBW,ppl:dbw,,"5 Places des Italiens, Paris",obj1570-pl-488,
5,obj1571,Obj1621,1838,,Joel R. Poinsett,ppl:jrpoinsett,obj1571-s-1,14 Apr 1838,1838-04-14,DBW,ppl:dbw,,Washington City,obj1571-pl-489,
6,obj1572,Obj1622,1838,,H. D. Spoor,ppl:hdspoor,obj1572-s-1,16 April 1838,1838-04-16,DBW,ppl:dbw,,"Troy, New York",obj1572-pl-491,
7,obj1573,Obj1623,1838,,Henry Tanner,ppl:htanner,obj1573-s-1,20 Apr 1838,1838-04-20,DBW,ppl:dbw,,Philadelphia,obj1573-pl-495,
8,obj1574,Obj1624,1838,,Francis A. Smith-Legare,ppl:faslegare,obj1574-s-1,25 Apr 1838,1838-04-25,DBW,ppl:dbw,,Washington,obj1574-pl-497,
9,obj1575,Obj1625,1838,,"Dr Julius Ducatel,",ppl:jtducatel,obj1575-s-1,27 April 1838,1838-04-27,DBW,ppl:dbw,,Baltimore,obj1575-pl-499,
10,obj1576,Obj1626,1838,,Joseph C. Cabell,ppl:jccabell,obj1576-s-1,18 May 1838,1838-05-18,DBW,ppl:dbw,,"Richmond, VA",obj1576-pl-501,
11,obj1577,Obj1627,1838,,James Adger,ppl:jadger,obj1577-s-1,22 May 1838,1838-05-22,DBW,ppl:dbw,,,,
12,obj1578,Obj1628,1838,,Henry Wheaton,ppl:hwheaton,obj1578-s-1,23 May 1838,1838-05-23,DBW,ppl:dbw,,"L’enceinte de la Muette, 7 Passy",obj1578-pl-504,
13,obj1579,Obj1629,1838,,"Dr J. G. Adams,",ppl:jgadams,obj1579-s-1,24 May 1838,1838-05-24,DBW,ppl:dbw,,,,
14,obj1580,Obj1630,1838,,Wh. Bradish,ppl:wbradish,obj1580-s-1,London 26 May 1838,1838-05-26,DBW,ppl:dbw,,,,
15,obj1581,Obj1631,1838,,"Charles Sumner,",ppl:csu,obj1581-s-1,28 May 1838,1838-05-28,DBW,ppl:dbw,,Paris,obj1581-pl-507,
16,obj1582,Obj1632,1838,,F. C. Gray,ppl:fcgray,obj1582-s-1,31 May 1838,1838-05-31,DBW,ppl:dbw,,London,obj1582-pl-509,
17,obj1583,Obj1633,1838,,Floureus,ppl:_floureus,obj1583-s-1,4 June 1838,1838-06-04,DBW,ppl:dbw,,,,
18,obj1584,Obj1634,1838,,[Mrs] Dewar,ppl:hmsdewar,obj1584-s-1,6 June 1838,1838-06-06,DBW,ppl:dbw,,"Leworth [?], Mass",obj1584-pl-510,
19,obj1585,Obj1635,1838,,Robert M. Patterson,ppl:rmpatterson,obj1585-s-1,6 June 1838,1838-06-06,DBW,ppl:dbw,,,,
20,obj1586,Obj1626,1838,,Daniel Brent,ppl:dcbrent,obj1586-s-1,14 June 1838,1838-06-14,DBW,ppl:dbw,,Paris,obj1586-pl-512,
21,obj1587,Obj1627,1838,,O. Rich,ppl:orich,obj1587-s-1,15 June 1838,1838-06-15,DBW,ppl:dbw,,London,obj1587-pl-514,
22,obj1588,Obj1628,1838,,Daniel Brent,ppl:dcbrent,obj1588-s-1,27 June 1838,1838-06-27,DBW,ppl:dbw,,,,
23,obj1589,Obj1629,1838,,Societe Royale des Antiquaries du Nord,org:org_104,obj1589-on-80,,,DBW,ppl:dbw,,,,
24,obj1590,Obj1630,1838,,"Dr J. G. Adams,",ppl:jgadams,obj1590-s-1,23 Jul 1838,1838-07-23,DBW,ppl:dbw,,New York,obj1590-pl-522,
25,obj1591,Obj1631,1838,,Alexander Dallas Bache,ppl:adbache,obj1591-s-1,23 Jul 1838,1838-07-23,DBW,ppl:dbw,,New York,obj1591-pl-523,
26,obj1592,Obj1632,1838,,Moncure Robinson,ppl:mrob,obj1592-s-1,9 Aug 1838,1838-08-09,DBW,ppl:dbw,,Philadelphia,obj1592-pl-524,
27,obj1593,Obj1633,1838,,Moncrue Robinson,ppl:mrob,obj1593-s-1,10 August 1838,1838-08-10,DBW,ppl:dbw,,,,
28,obj1594,Obj1634,1838,,Anna Bridgen,ppl:abridgen,obj1594-s-1,5 Sep 1838,1838-09-05,DBW,ppl:dbw,,,,
29,obj1595,Obj1635,1838,,Isaiah Townsend,ppl:ditj,obj1595-s-1,13 Sep 1838,1838-09-13,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Isaiah Townsend, 13 Sep 1838
                        
               
                    
                        In French [photo x3] – not yet transcribed
               
                "
30,obj1596,Obj1636,1838,,Juan Galindo,ppl:jgalindo,obj1596-s-1,13 Sep 1838,1838-09-13,DBW,ppl:dbw,,Guatemala,obj1596-pl-527,
31,obj1597,Obj1637,1838,,James Torrey,ppl:jamtorrey,obj1597-s-1,13 Sep 1838,1838-09-13,DBW,ppl:dbw,,"Burlington, Virginia",obj1597-pl-531,
32,obj1598,Obj1638,1838,,Moncure Robinson,ppl:mrob,obj1598-s-1,22 Sep 1838,1838-09-22,DBW,ppl:dbw,,Philadelphia,obj1598-pl-533,
33,obj1599,Obj1639,1838,,Sam Allison,ppl:samallison,obj1599-s-1,28 Sep 1838,1838-09-28,DBW,ppl:dbw,,Hotel d’Hollande,obj1599-pl-536,
34,obj1600,Obj1640,1838,,Isaiah Townsend,ppl:ditj,obj1600-s-1,3 Oct 1838,1838-10-03,DBW,ppl:dbw,,New York,obj1600-pl-537,
35,obj1601,Obj1641,1838,,John W. Francis,ppl:jwfran,obj1601-s-1,13 Oct 1838,1838-10-13,DBW,ppl:dbw,,New York,obj1601-pl-539,
36,obj1602,Obj1642,1838,,Henry Wheaton,ppl:hwheaton,obj1602-s-1,16 Oct 1838,1838-10-16,DBW,ppl:dbw,,Euceinta de la Muette,obj1602-pl-542,
37,obj1603,Obj1643,1838,,General Solomon Van Rensselear,ppl:svrensselaer,obj1603-s-1,7 Nov 1838,1838-11-07,DBW,ppl:dbw,,,,
38,obj1604,Obj1644,1838,,George Ord,ppl:gord,obj1604-s-1,5 Dec 1838,1838-12-05,DBW,ppl:dbw,,,,
39,obj1605,Obj1645,1838,,Henri Wheaton,ppl:hwheaton,obj1605-s-1,13 Dec 1838,1838-12-13,DBW,ppl:dbw,,,,
1,obj1607,Obj1646,1839,,Charles Sumner,ppl:csu,obj1607-s-1,15 Jan 1839,1839-01-15,DBW,ppl:dbw,,,,
2,obj1608,Obj1647,1839,,Arago,ppl:farago,obj1608-s-1,21 Jan 1839,1839-01-21,DBW,ppl:dbw,,[Paris],obj1608-pl-551,
3,obj1609,Obj1648,1839,,H Bleecher [Harnanus Bleecher],ppl:hbleecker,obj1609-s-1,23 Jan 1839,1839-01-23,DBW,ppl:dbw,,,,
4,obj1610,Obj1649,1839,,John B Stevenson,ppl:jbstevenson,obj1610-s-1,24 Feb 1839,1839-02-24,DBW,ppl:dbw,,"15 Harrison Street, New York",obj1610-pl-552,
5,obj1611,Obj1650,1839,,Wheaton,ppl:hwheaton,obj1611-s-1,26 Feb 1839,1839-02-26,DBW,ppl:dbw,,,,
6,obj1612,Obj1651,1839,,Wheaton,ppl:hwheaton,obj1612-s-1,26 Mar 1839,1839-03-26,DBW,ppl:dbw,,,,
7,obj1613,Obj1652,1839,,John Locke,ppl:johnlocke,obj1613-s-1,21 Apr 1839,1839-04-21,DBW,ppl:dbw,,Cincinnati,obj1613-pl-556,
8,obj1614,Obj1653,1839,,Wheaton,ppl:hwheaton,obj1614-s-1,24 Apr 1839,1839-04-24,DBW,ppl:dbw,,Berlin,obj1614-pl-557,
9,obj1615,Obj1654,1839,,Baron de [Gerando?],ppl:jmdgerando,obj1615-s-1,3 May 1839,1839-05-03,DBW,ppl:dbw,,,,"
                    
                    
                  
                            Baron de [Gerando?]  [unidentifiable French correspondent], 3 May 1839
                        
                        Cher et honourable, Coutrere
                    
                    
                        … - untranscribed
               
                "
10,obj1616,Obj1654,1839,,J. P. Chazal,ppl:jpchazal,obj1616-s-1,16 may 1839,1839-05-16,DBW,ppl:dbw,,Charleston,obj1616-pl-559,
11,obj1617,Obj1655,1839,,Dr Tucker,ppl:drtucker,obj1617-s-1,16 May 1839,1839-05-16,DBW,ppl:dbw,,New York,obj1617-pl-560,
12,obj1618,Obj1656,1839,,John Howard Payne,ppl:jhp,obj1618-s-1,17 May 1839,1839-05-17,DBW,ppl:dbw,,,,
